Country,Lat,Long
Ireland,53.41291,-8.24389
Spain,40.463667,-3.74922
Australia,-25.274398,133.775136
Turkey,38.963745,35.243322
Luxembourg,49.815273,6.129583
New Zealand,-40.900557,174.885971
United Kingdom,55.378051,-3.435973
Mexico,23.634501,-102.552784
Greece,39.074208,21.824312
Slovak Republic,48.669026,19.699024
Portugal,39.399872,-8.224454
France,46.227638,2.213749
United States,37.09024,-95.712891
Japan,36.204824,138.252924
Netherlands,52.132633,5.291266
Estonia,58.595272,25.013607
Hungary,47.162494,19.503304
Poland,51.919438,19.145136
Czech Republic,49.817492,15.472962
Canada,56.130366,-106.346771
Korea,35.907757,127.766922
Slovenia,46.151241,14.995463
Chile,-35.675147,-71.542969
Israel,31.046051,34.851612
Belgium,50.503887,4.469936
Brazil,-14.235004,-51.92528
Germany,51.165691,10.451526
Russian Federation,61.52401,105.318756
Lithuania,55.169438,23.881275
Latvia,56.879635,24.603189
Colombia,4.570868,-74.297333
Costa Rica,9.748917,-83.753428
